Animal,Taxonomy,min,max
Blue whale,Baleen whale,12,400
Fin whale,Baleen whale,14,118
Sei whale,Baleen whale,21,3000
Common minke whale,Baleen whale,50,9400
Humpback whale,Baleen whale,30,10000
Southern right whale,Baleen whale,30,2200
Arnoux's beaked whale,Toothed whale ,1000,8500
Orca,Toothed whale ,1500,18000
Long-finned pilot whale,Toothed whale ,1000,8000
Sperm whale,Toothed whale ,500,15000
Antarctic fur seal,Pinniped,100,8000
Crabeater seal,Pinniped,100,8000
Leopard seal,Pinniped,40,7000
Ross seal,Pinniped,140,4000
Weddell seal,Pinniped,50,15000
Dolphins and porpoises,Toothed whale ,1000,150000
